Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,False_Negatives
Random Forest,0.8401323042998897,0.5625,0.061224489795918366,0.11042944785276074,0.7135472610096671,138
SVM,0.8379272326350606,0.0,0.0,0.0,0.5969477264590047,147
Logistic Regression,0.834619625137817,0.2857142857142857,0.013605442176870748,0.025974025974025976,0.582733619763695,145
Gradient Boosting,0.834619625137817,0.38461538461538464,0.034013605442176874,0.0625,0.6892275331185107,142
Decision Tree,0.7872105843439912,0.27884615384615385,0.19727891156462585,0.23107569721115537,0.5747627998567848,118
